frame_index,timestamp (ms),is_change,delta (ms)
0,0.0000,0,0.0000
1,16.6667,0,0.0000
2,33.3333,1,33.3333
3,50.0000,0,0.0000
4,66.6667,1,33.3333
5,83.3333,0,0.0000
6,100.0000,1,33.3333
7,116.6667,0,0.0000
8,133.3333,1,33.3333
9,150.0000,0,0.0000
10,166.6667,1,33.3333
11,183.3333,0,0.0000
12,200.0000,1,33.3333
13,216.6667,0,0.0000
14,233.3333,1,33.3333
15,250.0000,0,0.0000
16,266.6667,1,33.3333
17,283.3333,0,0.0000
18,300.0000,1,33.3333
19,316.6667,0,0.0000
20,333.3333,1,33.3333
21,350.0000,0,0.0000
22,366.6667,1,33.3333
23,383.3333,0,0.0000
24,400.0000,1,33.3333
25,416.6667,0,0.0000
26,433.3333,1,33.3333
27,450.0000,0,0.0000
28,466.6667,1,33.3333
29,483.3333,0,0.0000
30,500.0000,1,33.3333
31,516.6667,0,0.0000
32,533.3333,1,33.3333
33,550.0000,0,0.0000
34,566.6667,1,33.3333
35,583.3333,0,0.0000
36,600.0000,1,33.3333
37,616.6667,0,0.0000
38,633.3333,1,33.3333
39,650.0000,0,0.0000
40,666.6667,1,33.3333
41,683.3333,0,0.0000
42,700.0000,1,33.3333
43,716.6667,0,0.0000
44,733.3333,1,33.3333
45,750.0000,0,0.0000
46,766.6667,1,33.3333
47,783.3333,0,0.0000
48,800.0000,1,33.3333
49,816.6667,0,0.0000
50,833.3333,1,33.3333
51,850.0000,0,0.0000
52,866.6667,1,33.3333
53,883.3333,0,0.0000
54,900.0000,1,33.3333
55,916.6667,0,0.0000
56,933.3333,1,33.3333
57,950.0000,0,0.0000
58,966.6667,1,33.3333
59,983.3333,0,0.0000
60,1000.0000,1,33.3333
61,1016.6667,0,0.0000
62,1033.3333,1,33.3333
63,1050.0000,0,0.0000
64,1066.6667,1,33.3333
65,1083.3333,0,0.0000
66,1100.0000,1,33.3333
67,1116.6667,0,0.0000
68,1133.3333,1,33.3333
69,1150.0000,0,0.0000
70,1166.6667,1,33.3333
71,1183.3333,0,0.0000
72,1200.0000,1,33.3333
73,1216.6667,0,0.0000
74,1233.3333,1,33.3333
75,1250.0000,0,0.0000
76,1266.6667,1,33.3333
77,1283.3333,0,0.0000
78,1300.0000,1,33.3333
79,1316.6667,0,0.0000
80,1333.3333,1,33.3333
81,1350.0000,0,0.0000
82,1366.6667,1,33.3333
83,1383.3333,0,0.0000
84,1400.0000,1,33.3333
85,1416.6667,0,0.0000
86,1433.3333,1,33.3333
87,1450.0000,0,0.0000
88,1466.6667,1,33.3333
89,1483.3333,0,0.0000
90,1500.0000,1,33.3333
91,1516.6667,0,0.0000
92,1533.3333,1,33.3333
93,1550.0000,0,0.0000
94,1566.6667,1,33.3333
95,1583.3333,0,0.0000
96,1600.0000,1,33.3333
97,1616.6667,0,0.0000
98,1633.3333,1,33.3333
99,1650.0000,0,0.0000
100,1666.6667,1,33.3333
101,1683.3333,0,0.0000
102,1700.0000,1,33.3333
103,1716.6667,0,0.0000
104,1733.3333,1,33.3333
105,1750.0000,0,0.0000
106,1766.6667,1,33.3333
107,1783.3333,0,0.0000
108,1800.0000,1,33.3333
109,1816.6667,0,0.0000
110,1833.3333,1,33.3333
111,1850.0000,0,0.0000
112,1866.6667,1,33.3333
113,1883.3333,0,0.0000
114,1900.0000,1,33.3333
115,1916.6667,0,0.0000
116,1933.3333,1,33.3333
117,1950.0000,0,0.0000
118,1966.6667,1,33.3333
119,1983.3333,0,0.0000
120,2000.0000,1,33.3333
121,2016.6667,0,0.0000
122,2033.3333,1,33.3333
123,2050.0000,0,0.0000
124,2066.6667,1,33.3333
125,2083.3333,0,0.0000
126,2100.0000,1,33.3333
127,2116.6667,0,0.0000
128,2133.3333,1,33.3333
129,2150.0000,0,0.0000
130,2166.6667,1,33.3333
131,2183.3333,0,0.0000
132,2200.0000,1,33.3333
133,2216.6667,0,0.0000
134,2233.3333,1,33.3333
135,2250.0000,0,0.0000
136,2266.6667,1,33.3333
137,2283.3333,0,0.0000
138,2300.0000,1,33.3333
139,2316.6667,0,0.0000
140,2333.3333,1,33.3333
141,2350.0000,0,0.0000
142,2366.6667,1,33.3333
143,2383.3333,0,0.0000
144,2400.0000,1,33.3333
145,2416.6667,0,0.0000
146,2433.3333,1,33.3333
147,2450.0000,0,0.0000
148,2466.6667,1,33.3333
149,2483.3333,0,0.0000
150,2500.0000,1,33.3333
151,2516.6667,0,0.0000
152,2533.3333,1,33.3333
153,2550.0000,0,0.0000
154,2566.6667,1,33.3333
155,2583.3333,0,0.0000
156,2600.0000,1,33.3333
157,2616.6667,0,0.0000
158,2633.3333,1,33.3333
159,2650.0000,0,0.0000
160,2666.6667,1,33.3333
161,2683.3333,0,0.0000
162,2700.0000,1,33.3333
163,2716.6667,0,0.0000
164,2733.3333,1,33.3333
165,2750.0000,0,0.0000
166,2766.6667,1,33.3333
167,2783.3333,0,0.0000
168,2800.0000,1,33.3333
169,2816.6667,0,0.0000
170,2833.3333,1,33.3333
171,2850.0000,0,0.0000
172,2866.6667,1,33.3333
173,2883.3333,0,0.0000
174,2900.0000,1,33.3333
175,2916.6667,0,0.0000
176,2933.3333,1,33.3333
177,2950.0000,0,0.0000
178,2966.6667,1,33.3333
179,2983.3333,0,0.0000
180,3000.0000,1,33.3333
181,3016.6667,0,0.0000
182,3033.3333,1,33.3333
183,3050.0000,0,0.0000
184,3066.6667,1,33.3333
185,3083.3333,0,0.0000
186,3100.0000,1,33.3333
187,3116.6667,0,0.0000
188,3133.3333,1,33.3333
189,3150.0000,0,0.0000
190,3166.6667,1,33.3333
191,3183.3333,0,0.0000
192,3200.0000,1,33.3333
193,3216.6667,0,0.0000
194,3233.3333,1,33.3333
195,3250.0000,0,0.0000
196,3266.6667,1,33.3333
197,3283.3333,0,0.0000
198,3300.0000,1,33.3333
199,3316.6667,0,0.0000
200,3333.3333,1,33.3333
201,3350.0000,0,0.0000
202,3366.6667,1,33.3333
203,3383.3333,0,0.0000
204,3400.0000,1,33.3333
205,3416.6667,0,0.0000
206,3433.3333,1,33.3333
207,3450.0000,0,0.0000
208,3466.6667,1,33.3333
209,3483.3333,0,0.0000
210,3500.0000,1,33.3333
211,3516.6667,0,0.0000
212,3533.3333,1,33.3333
213,3550.0000,0,0.0000
214,3566.6667,1,33.3333
215,3583.3333,0,0.0000
216,3600.0000,1,33.3333
217,3616.6667,0,0.0000
218,3633.3333,1,33.3333
219,3650.0000,0,0.0000
220,3666.6667,1,33.3333
221,3683.3333,0,0.0000
222,3700.0000,1,33.3333
223,3716.6667,0,0.0000
224,3733.3333,1,33.3333
225,3750.0000,0,0.0000
226,3766.6667,1,33.3333
227,3783.3333,0,0.0000
228,3800.0000,1,33.3333
229,3816.6667,0,0.0000
230,3833.3333,1,33.3333
231,3850.0000,0,0.0000
232,3866.6667,1,33.3333
233,3883.3333,0,0.0000
234,3900.0000,1,33.3333
235,3916.6667,0,0.0000
236,3933.3333,1,33.3333
237,3950.0000,0,0.0000
238,3966.6667,1,33.3333
239,3983.3333,0,0.0000
240,4000.0000,1,33.3333
241,4016.6667,0,0.0000
242,4033.3333,1,33.3333
243,4050.0000,0,0.0000
244,4066.6667,1,33.3333
245,4083.3333,0,0.0000
246,4100.0000,1,33.3333
247,4116.6667,0,0.0000
